House_Price,House_Title,Post_Date,House_Link,House_Long,House_Lat
299900.0,"Judy Lindsay Team Presents: 200 Moorgate Street, St. James","Mon, 10 Jun 2019 10:32:58 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/judy-lindsay-team-presents:-200-moorgate-street-st-james/1439981038,-96.90849999999999,49.30583069999999
289900.0,Call now to view this stunning home!!,"Mon, 10 Jun 2019 10:30:45 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/call-now-to-view-this-stunning-home/1439980524,-96.6607325,49.5136766
450000.0,Exciting New Build in Mature Neighborhood,"Mon, 10 Jun 2019 10:36:14 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/exciting-new-build-in-mature-neighborhood/1439981863,-96.93430819999999,50.0833599
357049.0,3 Bedroom Lakefront Cabover in Bridgwater Trails,"Mon, 10 Jun 2019 10:40:08 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/3-bedroom-lakefront-cabover-in-bridgwater-trails/1439982782,-97.2032298,49.7820533
495900.0,New house with university rental suite in Fort Garry,"Mon, 10 Jun 2019 10:53:25 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/new-house-with-university-rental-suite-in-fort-garry/1439986199,-96.6532197,49.6677966
229900.0,THE HOME OF YOUR DREAMS WITHIN YOUR MEANS!,"Mon, 10 Jun 2019 10:52:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/the-home-of-your-dreams-within-your-means/1439985881,-97.1553175,49.8446665
314900.0,WELCOME TO 34 HARROWBY AVENUE,"Mon, 10 Jun 2019 10:57:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/welcome-to-34-harrowby-avenue/1439987151,-97.1087471,49.8661281
289900.0,OPEN CONCEPT 3BD BI-LEVEL ON QUIET CUL-DE-SAC! WARREN,"Mon, 10 Jun 2019 11:21:15 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/open-concept-3bd-bi-level-on-quiet-cul-de-sac-warren/1439992876,-97.55326219999999,50.1329415
324900.0,"122 Houde Drive, Winnipeg Houses for Sale by Hubert Labossiere","Mon, 10 Jun 2019 11:26:34 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/122-houde-drive-winnipeg-houses-for-sale-by-hubert-labossiere/1439994123,-97.1596591,49.7653398
287900.0,3 Bedroom Shaughnessy Heights Fully Developed Home,"Mon, 10 Jun 2019 11:25:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/3-bedroom-shaughnessy-heights-fully-developed-home/1439993776,-97.16515,49.9423891
293900.0,"DREAMING OF OWNING A *BRAND NEW* HM? -257 McAdam Ave, WPG","Mon, 10 Jun 2019 11:40:49 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/dreaming-of-owning-a-brand-new-hm-257-mcadam-ave-wpg/1439997719,-97.04526210000002,49.9181901
279900.0,"MX HOMES *BRAND NEW* 3BD HOME! 487 MATHESON AVE, WPG","Mon, 10 Jun 2019 11:52:50 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/mx-homes-brand-new-3bd-home-487-matheson-ave-wpg/1440000683,-97.1349199,49.9332345
380000.0,HOUSE FOR SALE WITH 38X24 MECHANIC&apos;S SHOP,"Mon, 10 Jun 2019 11:55:37 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/house-for-sale-with-38x24-mechanics-shop/1440001381,-97.168961,49.7670152
568800.0,Renovated Duplex for sale,"Mon, 10 Jun 2019 12:01:19 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/renovated-duplex-for-sale/1440002678,-97.223413,49.9442112
329900.0,Lovely home on Quiet Street in St. James,"Mon, 10 Jun 2019 12:00:08 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/lovely-home-on-quiet-street-in-st-james/1440002395,-97.26448690000001,49.8772277
239500.0,Excellent and Solid Bungalow in Move In Condition,"Mon, 10 Jun 2019 12:11:25 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/excellent-and-solid-bungalow-in-move-in-condition/1440005165,-97.1671597,49.9260263
299900.0,"OPEN HOUSE SAT. JUNE 15, 1-3!  1032 BOSTON AVE. WPG","Mon, 10 Jun 2019 12:52:41 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/open-house-sat-june-15-1-3-1032-boston-ave-wpg/1440015270,-97.1528678,49.834802
339500.0,Over 3000 sqft Home on a beautiful 3 acre property!!,"Mon, 10 Jun 2019 13:05:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/over-3000-sqft-home-on-a-beautiful-3-acre-property/1440018195,-96.691092,49.5285279
323900.0,"Gorgeous Bungalow, 2 Cypress Point, Breezy Bend.","Mon, 10 Jun 2019 13:46:52 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/gorgeous-bungalow-2-cypress-point-breezy-bend/1440027798,-97.3775814,49.8591857
299998.0,Marvellous In Morris House for Sale,"Mon, 10 Jun 2019 14:31:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/marvellous-in-morris-house-for-sale/1440038259,-97.36468839999999,49.3544829
285000.0,Fabulous Westwood Starter - House for sale,"Mon, 10 Jun 2019 14:39:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/fabulous-westwood-starter-house-for-sale/1440040123,-97.30292639999999,49.8796638
299998.0,"DUPLEX-LARGE, U of W, Portage Av, Broadway Av, College,","Mon, 10 Jun 2019 14:37:05 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/duplex-large-u-of-w-portage-av-broadway-av-college/1440039680,-97.15423679999999,49.8875399
250000.0,"House for sale in Altona, MB - 130 4th Ave SW","Mon, 10 Jun 2019 14:51:23 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/house-for-sale-in-altona-mb-130-4th-ave-sw/1427773960,-96.88233509999999,49.497042
334900.0,Absolutely Gorgeous custom build 4 bdrm Family Home!,"Mon, 10 Jun 2019 14:50:44 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/absolutely-gorgeous-custom-build-4-bdrm-family-home/1440042839,-97.043481,49.84995499999999
270000.0,Money maker rental property for sale by owner,"Mon, 10 Jun 2019 15:21:38 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/money-maker-rental-property-for-sale-by-owner/1440050100,-97.1444961,49.9145877
524900.0,"So many updates done, all you have to do is move in!","Mon, 10 Jun 2019 15:36:25 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/so-many-updates-done-all-you-have-to-do-is-move-in/1440053358,-97.1996487,49.8398855
399900.0,Beautiful Southdale home in parklike setting,"Mon, 10 Jun 2019 16:40:36 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-southdale-home-in-parklike-setting/1440067175,-97.05283589999999,49.8462396
374900.0,Spacious 5 bedroom 3 full bathrooms for sale available now,"Mon, 10 Jun 2019 16:52:07 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/spacious-5-bedroom-3-full-bathrooms-for-sale-available-now/1440069575,-97.19048,49.557503
314900.0,WANTED: Vacant LOTS  or TARE DOWN I will BUY for CASH.&#8203;,"Mon, 10 Jun 2019 17:35:40 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/wanted:-vacant-lots-or-tare-down-i-will-buy-for-cash/1440078484,-97.193276,49.8931318
213000.0,"71 Villeneuve BLVD Winnipeg, Manitoba","Mon, 10 Jun 2019 19:09:59 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/71-villeneuve-blvd-winnipeg-manitoba/1433489400,-97.1569402,49.7664413
279900.0,"253 Fortier AVE Winnipeg, Manitoba","Mon, 10 Jun 2019 19:09:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/253-fortier-ave-winnipeg-manitoba/1433489265,-97.07584899999999,49.95044499999999
549000.0,"57 SHERRY LANE Lac Du Bonnet RM, Manitoba","Mon, 10 Jun 2019 19:09:51 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/57-sherry-lane-lac-du-bonnet-rm-manitoba/1433489121,-95.7992656,50.3737473
339900.0,"50 Cameron RD Pinawa, Manitoba","Mon, 10 Jun 2019 19:09:51 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/50-cameron-rd-pinawa-manitoba/1433489122,-95.88989079999999,50.1496884
289000.0,"195 McKenzie AVE Steinbach, Manitoba","Mon, 10 Jun 2019 19:13:18 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/195-mckenzie-ave-steinbach-manitoba/1420345432,-96.6869438,49.5177635
219900.0,"32 Woodlark PL Winnipeg, Manitoba","Mon, 10 Jun 2019 19:12:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/32-woodlark-pl-winnipeg-manitoba/1433492411,-97.133821,49.954631
619900.0,"64 High Plains RD Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/64-high-plains-rd-winnipeg-manitoba/1433492240,-97.0289354,49.8383206
319900.0,"71068 Edgewood RD Springfield Rm, Manitoba","Mon, 10 Jun 2019 19:11:51 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/71068-edgewood-rd-springfield-rm-manitoba/1433492131,-96.72772049999999,50.0410032
324900.0,"94 Creekside DR Steinbach, Manitoba","Mon, 10 Jun 2019 19:11:50 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/94-creekside-dr-steinbach-manitoba/1433492110,-96.656728,49.5232363
269900.0,"471 Ritchot ST Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:49 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/471-ritchot-st-winnipeg-manitoba/1433492102,-97.1160874,49.887429
421300.0,"96 Falcon Creek BAY Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/96-falcon-creek-bay-winnipeg-manitoba/1433492069,-97.1969362,49.78201809999999
519888.0,"39 Skyline DR Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/39-skyline-dr-winnipeg-manitoba/1433492076,-97.20408719999999,49.7792594
486000.0,"95 Falcon Creek BAY Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/95-falcon-creek-bay-winnipeg-manitoba/1433492068,-97.1969362,49.78201809999999
426900.0,"227 John Neufeld CR Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/227-john-neufeld-cr-winnipeg-manitoba/1433492078,-97.0436323,49.9046514
420900.0,"19 Tyson TRL Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/19-tyson-trl-winnipeg-manitoba/1433492071,-97.03948129999999,49.90310909999999
339900.0,"99 Bill Dance DR Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/99-bill-dance-dr-winnipeg-manitoba/1433492077,-97.0564929,49.90516299999999
399900.0,"Homes for Sale in La Salle, Manitoba $399,900","Mon, 10 Jun 2019 19:17:58 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-la-salle-manitoba-399-900/1383791190,-97.2562978372,49.6952614534
354900.0,13 Hawthorne Way,"Mon, 10 Jun 2019 19:17:24 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/13-hawthorne-way/1383788904,-97.1576698333,49.767242833299996
409900.0,"Homes for Sale in La Salle, Manitoba $409,900","Mon, 10 Jun 2019 19:17:05 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-la-salle-manitoba-409-900/1383788519,-97.2562978372,49.6952614534
349900.0,"22 Countryside DR Tyndall, Manitoba","Mon, 10 Jun 2019 19:16:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/22-countryside-dr-tyndall-manitoba/1420347439,-96.66097099999999,50.08398400000001
299900.0,"7 Scout RD St Malo, Manitoba","Mon, 10 Jun 2019 19:16:11 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/7-scout-rd-st-malo-manitoba/1420347421,-96.95361559999999,49.3140936
569900.0,"39098 Mile 78 North RD Brokenhead Rm, Manitoba","Mon, 10 Jun 2019 19:16:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/39098-mile-78-north-rd-brokenhead-rm-manitoba/1420347398,-96.79460759999999,50.15166
699900.0,"27 Bridlewood RD Winnipeg, Manitoba","Mon, 10 Jun 2019 19:16:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/27-bridlewood-rd-winnipeg-manitoba/1420347257,-97.18323219999999,49.80733559999999
388800.0,"Homes for Sale in Sunset Beach, Grand Marais, Manitoba $388,800","Mon, 10 Jun 2019 19:15:52 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-sunset-beach-grand-marais-manitoba-388-800/1433493931,-96.636209,50.554481
284900.0,We Buy Inherited  Houses,"Mon, 10 Jun 2019 19:48:17 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/we-buy-inherited-houses/1440107170,-97.13837439999999,49.895136
234900.0,Retreat To 80 Acres Of Serene Country!,"Mon, 10 Jun 2019 21:40:04 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/retreat-to-80-acres-of-serene-country/1440126257,-96.82607,49.1830489
298900.0,Family Friendly Home With A Large Rec Room!,"Mon, 10 Jun 2019 21:50:21 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/family-friendly-home-with-a-large-rec-room/1440127798,-96.68887699999999,49.5238427
299900.0,AMAZING Nearly New 2 Storey In A Great Location!,"Mon, 10 Jun 2019 22:00:26 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/amazing-nearly-new-2-storey-in-a-great-location/1440129115,-96.8982983,49.2977297
349900.0,5 Bedroom Family Home &amp; A GREAT Place To Entertain!!,"Mon, 10 Jun 2019 22:06:00 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/5-bedroom-family-home-a-great-place-to-entertain/1440129833,-96.9849244,49.4388268
229900.0,Quiet Low Maintenance Living On The Outskirts Of Town!,"Mon, 10 Jun 2019 22:13:05 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/quiet-low-maintenance-living-on-the-outskirts-of-town/1440130700,-96.97377499999999,49.4383036
374900.0,Spacious 5 bedroom 3 full bathrooms for sale available now,"Tue, 11 Jun 2019 07:20:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/spacious-5-bedroom-3-full-bathrooms-for-sale-available-now/1440157901,-97.1024619,49.9073112
369900.0,5 Bedroom Newer Duplex with Dbl Garage in East Kildonan,"Tue, 11 Jun 2019 07:20:43 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/5-bedroom-newer-duplex-with-dbl-garage-in-east-kildonan/1440157879,-97.0977935,49.8794026
324900.0,EXECUTIVE 5 BED FAMILY HOME,"Tue, 11 Jun 2019 09:00:44 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/executive-5-bed-family-home/1352250121,-96.21695489999999,50.5623146
439000.0,Massive 4BD 3BA Self-Sustaining Estate on 80 Acres,"Tue, 11 Jun 2019 09:45:33 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/massive-4bd-3ba-self-sustaining-estate-on-80-acres/1440191594,-97.273597,50.388934
334900.0,Newer home is located on a very private large country lot,"Tue, 11 Jun 2019 09:45:16 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/newer-home-is-located-on-a-very-private-large-country-lot/1440191528,-97.0406572,49.4989594
329900.0,803 BOREBANK- HOME FOR SALE ON QUIET RIVER HEIGHTS STREET,"Tue, 11 Jun 2019 09:51:44 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/803-borebank-home-for-sale-on-quiet-river-heights-street/1440192942,-97.03817889999999,49.6066765
244900.0,Amazing 2000sqft bungalow + 2 acres in Kleefeld!,"Tue, 11 Jun 2019 10:00:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/amazing-2000sqft-bungalow-2-acres-in-kleefeld/1440195038,-96.873846,49.510117
629900.0,We Will Buy Your House Cash Today!,"Tue, 11 Jun 2019 10:06:28 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/we-will-buy-your-house-cash-today/1440196545,-97.17599279999999,49.9065147
509900.0,Looking to sell your property  commission free?!?,"Tue, 11 Jun 2019 10:05:07 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/looking-to-sell-your-property-commission-free/1440196218,-97.1682689,49.8884098
344900.0,Featuring a modern curb appeal upon approach,"Tue, 11 Jun 2019 10:10:26 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/featuring-a-modern-curb-appeal-upon-approach/1440197496,-97.0563389,49.5975354
279900.0,Calling all Developers! Land on St Mary&apos;s Rd.,"Tue, 11 Jun 2019 10:26:14 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/calling-all-developers-land-on-st-marys-rd/1440201221,-97.1112313,49.8615535
345000.0,Brand new house Fort Garry Area,"Tue, 11 Jun 2019 10:25:21 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/brand-new-house-fort-garry-area/1440201021,-97.1549726,49.8443683
339000.0,"BRAND NEW Beautiful&amp;Spacious 3 Bdrm, 2 Bath Family Home in Elie!","Tue, 11 Jun 2019 10:25:10 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/brand-new-beautiful-spacious-3-bdrm-2-bath-family-home-in-elie/1440200977,-97.76712959999999,49.9064212
338268.0,Wonderful 3 Bedroom Two Storey Home,"Tue, 11 Jun 2019 10:36:45 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/wonderful-3-bedroom-two-storey-home/1440203656,-97.16290169999999,49.77212429999999
309900.0,"3 Meadowlark Cove, Steinbach","Tue, 11 Jun 2019 10:47:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/3-meadowlark-cove-steinbach/1440206082,-96.67996889999999,49.52402499999999
919900.0,Stunning Custom Built Bungalow in The Oaks!,"Tue, 11 Jun 2019 10:45:38 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/stunning-custom-built-bungalow-in-the-oaks/1411622494,-97.32874609999999,49.873058
269900.0,Attention Realtors,"Tue, 11 Jun 2019 10:45:22 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/attention-realtors/1094340930,-97.13837439999999,49.895136
379900.0,"443 Heloise Bay, Ste Agathe","Tue, 11 Jun 2019 11:00:18 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/443-heloise-bay-ste-agathe/1440209235,-97.15437299999999,49.86554
379900.0,River Heights - 444 Ash Street - Great location and character,"Tue, 11 Jun 2019 11:10:38 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/river-heights-444-ash-street-great-location-and-character/1440211813,-97.182661,49.86574599999999
429900.0,Are you looking for that perfect get away spot?,"Tue, 11 Jun 2019 11:20:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/are-you-looking-for-that-perfect-get-away-spot/1440213995,-96.15506169999999,49.2900634
269900.0,"JUST LISTED | 11 Nolin Ave | $269,900 | St. Norbert","Tue, 11 Jun 2019 11:26:10 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/just-listed-11-nolin-ave-269-900-st-norbert/1440215388,-97.16593499999999,49.7710046
1756000.0,&#9830; &#9830; We Buy Estate Sales and Foreclosures &#9830;&#8203;,"Tue, 11 Jun 2019 11:53:43 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/we-buy-estate-sales-and-foreclosures/1440221900,-97.18185249999999,49.8934394
999000.0,"$$  Incredible investment  $$  1710 sq.ft Duplex  NOW $99,900","Tue, 11 Jun 2019 12:16:27 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/incredible-investment-1710-sq-ft-duplex-now-99-900/1440227244,-97.1440793,49.9130562
289900.0,BUILT WITH QUALITY MAINTAINED WITH PRIDE!,"Tue, 11 Jun 2019 12:16:05 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/built-with-quality-maintained-with-pride/1440227156,-96.6346523,49.666313
1500000.0,PRESTIGIOUS HIGH END LIVING FIT FOR A CELEBRITY!,"Tue, 11 Jun 2019 12:25:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/prestigious-high-end-living-fit-for-a-celebrity/1440229399,-97.077833,49.791648
559900.0,This custom home is beautifully designed &amp; finished!,"Tue, 11 Jun 2019 12:53:58 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/this-custom-home-is-beautifully-designed-finished/1440235702,-97.0290103,49.59885629999999
264900.0,Beautiful Move in Ready Family Home,"Tue, 11 Jun 2019 13:12:20 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-move-in-ready-family-home/1440239924,-97.0148406,49.8937077
399900.0,Gorgeous 3 bedroom cottage. One hour from Winnipeg,"Tue, 11 Jun 2019 13:30:36 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/gorgeous-3-bedroom-cottage-one-hour-from-winnipeg/1439852803,-96.60269799999999,50.51664299999999
